"","39330_S0","39330_S3","48234_S0","48234_S3","49407_S0","49407_S3","49461_S0","49461_S3","49523_S0","49523_S3","49782_S0","49782_S3","50262_S3","50861_S0","50861_S3","51684_S0","51684_S3","51686_S0","52441_S0","52558_S0","52558_S3","52898_S0","52898_S3","53191_S0","53191_S3","53620_S0","53620_S3","53950_S0","54949_S0","54949_S3","54952_S0","54953_S3","55472_S0","55472_S3","FD45571446","FD45571447","FD45571448","FD45571449","FD45571450","FD45571451","FD45571452","FD45571453","FD45571454","FD45571455","FD45571456","FD45571457","FD45571458","FD45571459","FD45571460","FD45571461","FD45571462","FD45571463","FD45571464","FD45571465","FD45571468","FD45571469","FD45571470","FD45571471","FD45571472","FD45571473","FD45571474","FD45571475","FD45571476","FD45571477","FD45571478","FD45571479"
"Hypoxia-12",0.275271655239562,0.299424630301221,0.323075513880455,0.3269565453392,0.293676870205959,0.218934785779955,0.205994904449955,0.235803193708929,0.218123975886039,0.237289113096106,0.254198231145278,0.19993164092317,0.232867824417252,0.258131846509277,0.284601057784623,0.186036768023558,0.164395946629032,0.258252280614858,0.238058364742322,0.247317372704543,0.221898143279268,0.242400777563296,0.259822164624941,0.22311181373763,0.220351158711796,0.26090267906516,0.212815545837899,0.314249899072827,0.247167254136318,0.269400916656206,0.277029823555554,0.222011792364817,0.216793263832112,0.196616310509657,0.294134681198336,0.182757523106599,0.162184153970602,0.148232841764669,0.201650847441402,0.154620362525907,0.29786811408988,0.141597622090435,0.196767469354738,0.157441976230477,0.151604897498121,0.201897349741292,0.249103736783408,0.174844320634875,0.222055494129416,0.303654935071773,0.203278241265921,0.301936598651178,0.244751654915926,0.223650579400066,0.184229357227304,0.282545483264169,0.241208483508278,0.215707461600685,0.205850959444389,0.227484527792536,0.153255026971659,0.141830961646157,0.158374137840257,0.253979935191434,0.257495584497638,0.188630500232143
"Chemokine-12",0.0945797157963552,0.198162654402404,0.0987544586023786,0.00671227534952001,-0.0599259097842668,0.248924774345976,0.260591689509238,0.234900964549093,-0.124751981282472,0.34130242800289,0.207151540870044,0.254054317532773,0.187226892683878,0.192711977153605,0.227560757417623,0.192852473305731,0.222173160073861,0.043679966969068,0.132852014542785,0.27955580277781,0.221691458980858,0.188302118337902,0.331582388090514,0.196416487940269,0.207031115596793,0.151403241160211,0.243155830303586,0.119699854342765,0.18786342627106,0.204246997969974,-0.203231984952575,0.256990400385361,0.225209597320824,0.197993485566171,-0.106642621466002,0.0957899333635246,0.157901759720515,0.171495924176748,0.0775700329947597,0.196545254577214,0.0347577149511549,0.164508798602575,0.157711716374458,0.0971323672122663,0.179328136119557,0.132415733971663,0.0305848482888013,0.146434463349938,-0.136099340104807,0.099174322313515,-0.032194151517112,-0.290066798214401,0.164266190075694,-0.200532121368959,0.217377240085398,-0.198013036164844,0.105219318108301,0.100500582260464,0.0713996894610855,0.0569200038817365,0.10846218541761,0.167116840266546,0.111341139936598,0.1221453063337,0.150227243320179,0.0307789351103059
"CCR-Angiogenesis",0.137836427346604,0.200641169015135,0.212654390019633,0.175054052039067,0.147195506846592,0.07252665324685,0.206918661000522,0.102539824548324,0.0560153085315241,0.047950992817913,0.145296851313402,0.0863117870722433,0.174942220234101,0.100236089366038,0.0755411416784711,0.188207957454211,0.205298342404135,0.132709560376749,0.249621014438729,0.207211908844653,0.212351201570616,0.106824225254107,0.0943239146102041,0.159241034816969,0.0978031263202366,0.145291881010959,0.164042346976814,0.165312259250975,0.193772211039042,0.151743333581849,0.180936404980243,0.134536146524516,0.108894356221576,0.156604289371008,0.0251883783689062,0.057680580380612,0.0188623698874987,-0.0376616549258753,-0.00319279430834474,0.161164265937686,-0.045242350962044,-0.0319945326464094,-0.0842568254302036,-0.0318964006588862,0.0188904075982196,-0.0442154698068903,0.0664073178424982,0.0100480145796096,0.0386955455087092,0.0729155714435916,-0.0663126905688151,0.0365892124908002,-0.115708127431395,-0.0617705814320261,0.154666526478113,0.0977394595731259,0.074604843514527,0.20304559632706,-0.0845266883958925,-0.0059650229558757,-0.00641012161357019,-0.0242841621981565,0.0554726106613396,0.0222023621771282,-0.0349875582658676,-0.0464970385168051
"CCR-Glycolysis",0.22156750619494,0.305918135633956,0.309291166306158,0.300024310130971,0.265718019055828,0.175411407528958,0.210267439065828,0.227418512717237,0.124697159305946,0.238243427286465,0.215349085193196,0.184000066300357,0.162893071336422,0.223066170518994,0.255455276265301,0.161705189936711,0.122875280740575,0.199265723544086,0.219147543157389,0.239160582227637,0.164358585481879,0.198260168126656,0.252732817848056,0.192862214045178,0.192921608115164,0.188059581920998,0.188040244316816,0.264204160899917,0.236746144219852,0.235540306473401,0.218498352159872,0.208455229302548,0.200660793560025,0.170135004102335,0.223494457108344,0.137457868178542,0.120012858729324,0.118448379994935,0.169207239854268,0.0927426111013696,0.23373468155162,0.0894305141543438,0.0904494710386347,0.096290451419331,0.0968963703314045,0.114259551503108,0.21174430611569,0.143261831005124,0.105558477994038,0.297552944843844,0.132053305277924,0.227558594891577,0.151117345646541,0.103908274397491,0.100132483877881,0.206072827166988,0.163216240964794,0.123098953767023,0.134658172112144,0.163426656535547,0.105572116040291,0.0761548502737351,0.087797845188692,0.203306252070061,0.230804449899663,0.0660042472772615
"CCR-gMDSC",0.0826046573733891,0.171491997164496,0.102825292534025,0.0670133154772541,0.0137190063170463,0.164841131295201,0.056401777491522,0.129859776105189,-0.0541337674298046,0.130189668477802,0.0797828994004991,0.0703966759416169,0.0430480091584406,0.0386494441902615,0.0866566389858165,0.108310735051261,0.121514284536099,-0.0749385870002769,0.21466273414013,0.166069391289663,0.158003719143772,0.0145997011332196,0.176110490381085,0.0969991575962628,0.124630589270251,0.003180123199092,0.155731781791905,0.0854548881998677,0.149138843452324,0.14781141938157,-0.0836277164575058,0.195610467799166,0.130640325022533,0.125654630176905,-0.0894908596297312,0.0161490493959516,-0.0223211193940956,0.00436172540937063,0.167547599458143,0.0270803726511921,-0.0165548879303897,-0.0156670295666531,-0.140809350076597,-0.0174967657577546,0.00452516891470744,-0.0350336998346173,0.00663331311066229,-0.0442142384225208,-0.178715777284677,0.109086073782277,-0.113216485078162,-0.0397583252304138,-0.0259390383427383,-0.16071344475194,-0.0298976954465747,-0.11634822885415,-0.0860433097586853,-0.0538684861530109,-0.105984802524233,-0.0772076646693317,-0.0570847219105715,-0.00840764472368355,-0.0107900415811358,0.0495150714303523,0.10516204453974,-0.124316792296547
"CCR-Hypoxia",0.270037557543101,0.269127071649745,0.344244120105648,0.312865715104255,0.259933911282568,0.206631241439667,0.173920465917609,0.221695466015722,0.13447719664533,0.201741304271042,0.189182878155795,0.166509032255532,0.174864310130333,0.209419604488068,0.234809210035752,0.156850817671275,0.134292744761763,0.247915105039461,0.202744016106182,0.267192289126365,0.184516637952349,0.127448402528953,0.20149994701914,0.173618278789211,0.140281544215471,0.211640876107202,0.183568869231464,0.284252126102296,0.257449697616646,0.260395040991488,0.227664642928625,0.193335007790149,0.156929307834496,0.143319113532097,0.320250621295061,0.237733227800809,0.153145773256361,0.190395802314705,0.267768485257734,0.15842608941114,0.252218120229589,0.124580037748172,0.10648084086544,0.134609317488695,0.174153571962296,0.138724532437414,0.303690132893492,0.169476562370275,0.136795611913367,0.323261619186256,0.163562497578471,0.277689834007671,0.188920745443375,0.14262665286626,0.15054435963713,0.294596255071373,0.217220804667047,0.178700510873355,0.152702979448832,0.17663875220705,0.148377437441537,0.153713102822257,0.169778215651654,0.2638552949837,0.275176979149947,0.109328558540109
"CCR-mMDSC",0.163213549240163,0.204628066178544,0.149102260282251,0.0998774810544322,0.0966751398254334,0.370779139913339,0.258876488449522,0.354086711913823,0.049380262912105,0.340869866199788,0.245381640105634,0.315041627139503,0.213968258619364,0.217516912742337,0.279410041059413,0.272989791919244,0.26846831172922,0.070950556554672,0.258714045542618,0.300633838670569,0.309137459297705,0.207891392174171,0.335195352704391,0.185350103838927,0.287644632791124,0.189541936641772,0.295751028316711,0.144552760064318,0.207066724293914,0.215812452613188,-0.00973375479362243,0.350267930070801,0.280865434273805,0.281883861562748,-0.0844950255041323,0.301959405770196,0.247615019687171,0.298893992679626,0.323350339575581,0.193422334934567,0.049554024243965,0.217644329430424,0.0841806375745363,0.203785628234442,0.28406466452297,0.161384844827848,0.0678000325373198,0.169841147782728,-0.0388627422055595,0.114139819454492,-0.0183746928701944,-0.0968202354927756,0.210156299450057,-0.0846446344024092,0.22365719474946,-0.0958917187289939,0.12756172544047,0.165896390083755,0.040789087547884,0.0701098160699835,0.202007845574323,0.251422199972694,0.194219551581329,0.233191884920417,0.246672640560437,0.0318952047209454
"CCR-Proliferation",0.0994893455416802,0.178138696263964,0.202567908549013,0.261137331968219,0.222776473462219,0.0352014275440325,0.151256594651834,0.109093117133231,0.115898801336146,0.202046162826082,0.162745179248525,0.0955973997302295,0.153716854756029,0.153122980714186,0.206354557544534,0.0693900752135156,0.0269882759015251,0.0793420282764069,0.141818314555986,0.100158857796299,0.0479616466877658,0.222637130675805,0.224127607105289,0.0798578071797688,0.185617578110056,0.115279480563787,0.0897353504927364,0.17519828267913,0.101245345441999,0.132708034041759,0.148702971370849,0.0851205420399292,0.158322888474176,0.123003879485688,0.18487026956979,-0.062172893472442,0.0758961620328282,-0.0557408638566558,-0.063329760121466,-0.0660893587632152,0.161470034919499,0.0162750780636733,0.0291170426317773,0.0507412635466354,-0.0604239394933918,0.0331496910967443,-0.0124790162760711,0.0501898899785062,0.0677270946609859,0.178842398517225,0.0328326699141684,0.198255911812006,0.105986859385093,0.0526486039896508,0.0112129175829332,0.182960694834963,0.117635215616607,0.0345150916481676,0.12580949633601,0.112703637079512,0.0317046008040471,-0.0287751959846301,-0.017561285383114,0.0836101786390779,0.104041287726638,0.000864174421728037
"CCR-RAS",0.406745928217361,0.419511013380045,0.407968394767247,0.408024300249711,0.418258730572845,0.25932689799113,0.309634378144683,0.276888673549253,0.349375722112482,0.289046252469159,0.38364950989527,0.254097871864634,0.331847489843837,0.406980731243711,0.390283627147702,0.257627371324215,0.290674965524952,0.410767395922627,0.284398643360292,0.353866795870448,0.287905780626887,0.330531847489844,0.260154299131601,0.343583914129179,0.264500018635161,0.391066303902203,0.315333010323879,0.396645671052141,0.445100816220044,0.423651746114569,0.377015392642839,0.260948156982595,0.276653870522903,0.258287056017293,0.299973721553582,0.194145162138014,0.122368213591212,0.16725180007358,0.165433331581437,0.191853681610343,0.351127345351343,0.12443895516897,0.29285751826352,0.140516108687654,0.147795238345509,0.323944920376307,0.439953749934304,0.327171913596468,0.298276133914963,0.402464918274032,0.378609344615546,0.317496189625269,0.189667314868345,0.265449098649288,0.27729016660535,0.294439480737899,0.297398433804594,0.257539286277395,0.352688285068587,0.341262416565933,0.268760182897987,0.120018920481421,0.170294844168813,0.283465601513639,0.318909970042571,0.278598833236979
"CCR-Stroma",0.20971060467154,0.265210089487818,0.266444907794284,0.275099183007862,0.226767648084896,0.31644450213781,0.321644206819897,0.248633343339526,0.0737215736225935,0.207039762447569,0.209287099312818,0.259458692001266,0.269839441167642,0.192442619891771,0.201822208880632,0.250583739665901,0.291228084408999,0.178690865427521,0.400887576364831,0.371904232619648,0.403799378534282,0.150135083605799,0.250415797885719,0.279429971522915,0.191678363094997,0.255275562442701,0.260491493383743,0.233052078178116,0.33231702864746,0.331770203720681,0.172459981988853,0.371114013808546,0.187930097276423,0.229376019211891,0.0812741962439875,0.365937640942048,0.211611678758588,0.253900589066217,0.341959463636093,0.409039293212117,0.0706284212430144,0.128755497455316,0.0930921512020567,0.189064385189323,0.216098930156848,0.100271753439272,0.0593324526720895,0.22522682368994,0.0531853761392697,0.194625371743595,0.0372625019173842,0.0365253106162415,-0.0365047058904333,0.0198492191953625,0.320331369779278,0.155586284578736,0.136358641278592,0.335041999299439,0.0280750836208455,0.11852181697051,0.166206876025944,0.147495495577997,0.276319675452674,0.0915193237986873,0.0253426680372625,0.0804969401982175
