"","39330_S0","39330_S3","48234_S0","48234_S3","49407_S0","49407_S3","49461_S0","49461_S3","49523_S0","49523_S3","49782_S0","49782_S3","50262_S3","50861_S0","50861_S3","51684_S0","51684_S3","51686_S0","52441_S0","52558_S0","52558_S3","52898_S0","52898_S3","53191_S0","53191_S3","53620_S0","53620_S3","53950_S0","54949_S0","54949_S3","54952_S0","54953_S3","55472_S0","55472_S3","FD45571446","FD45571447","FD45571448","FD45571449","FD45571450","FD45571451","FD45571452","FD45571453","FD45571454","FD45571455","FD45571456","FD45571457","FD45571458","FD45571459","FD45571460","FD45571461","FD45571462","FD45571463","FD45571464","FD45571465","FD45571468","FD45571469","FD45571470","FD45571471","FD45571472","FD45571473","FD45571474","FD45571475","FD45571476","FD45571477","FD45571478","FD45571479"
"CCR-Angiogenesis",0.137836427346604,0.200641169015135,0.212654390019633,0.175054052039067,0.147195506846592,0.07252665324685,0.206918661000522,0.102539824548324,0.0560153085315241,0.047950992817913,0.145296851313402,0.0863117870722433,0.174942220234101,0.100236089366038,0.0755411416784711,0.188207957454211,0.205298342404135,0.132709560376749,0.249621014438729,0.207211908844653,0.212351201570616,0.106824225254107,0.0943239146102041,0.159241034816969,0.0978031263202366,0.145291881010959,0.164042346976814,0.165312259250975,0.193772211039042,0.151743333581849,0.180936404980243,0.134536146524516,0.108894356221576,0.156604289371008,0.025146813918836,0.0576264352704006,0.0187799105968972,-0.0377263563853099,-0.00325532474362344,0.16109562625997,-0.0452958190901919,-0.0320781838899115,-0.0843211499693225,-0.0319694977649224,0.0187974406170567,-0.0442895959330353,0.0663598913138751,0.00999737049697613,0.0386624594618283,0.0728495047769305,-0.0663318432816197,0.0365378210184941,-0.115798054167762,-0.0617880620562714,0.154630554825138,0.0976895433429749,0.0745604347444999,0.203002892453326,-0.0845700762555877,-0.00600403190463666,-0.00647383644491195,-0.0243544570076256,0.0554176527303006,0.0221351564554298,-0.035072311333158,-0.0465474625295819
"CCR-Glycolysis",0.22156750619494,0.305918135633956,0.309291166306158,0.300024310130971,0.265718019055828,0.175411407528958,0.210267439065828,0.227418512717237,0.124697159305946,0.238243427286465,0.215349085193196,0.184000066300357,0.162893071336422,0.223066170518994,0.255455276265301,0.161705189936711,0.122875280740575,0.199265723544086,0.219147543157389,0.239160582227637,0.164358585481879,0.198260168126656,0.252732817848056,0.192862214045178,0.192921608115164,0.188059581920998,0.188040244316816,0.264204160899917,0.236746144219852,0.235540306473401,0.218498352159872,0.208455229302548,0.200660793560025,0.170135004102335,0.223458869067457,0.137398383491106,0.119952794977791,0.118403332027497,0.169165297487141,0.0926978391326125,0.233687273549401,0.0893728280719809,0.0903980073321756,0.0962391903032854,0.0968336383533984,0.114191521416696,0.211700491735223,0.143225923392213,0.10552427394505,0.297515402051528,0.132036656980087,0.227512809868227,0.151068739633703,0.103891003564739,0.100096281094018,0.206038617684147,0.163185734806005,0.12304977186838,0.134636636320581,0.163404023926047,0.10552622295505,0.0761137130394616,0.0877551497716735,0.203282717543624,0.230763758548845,0.0659554729175316
"CCR-gMDSC",0.0826046573733891,0.171491997164496,0.102825292534025,0.0670133154772541,0.0137190063170463,0.164841131295201,0.056401777491522,0.129859776105189,-0.0541337674298046,0.130189668477802,0.0797828994004991,0.0703966759416169,0.0430480091584406,0.0386494441902615,0.0866566389858165,0.108310735051261,0.121514284536099,-0.0749385870002769,0.21466273414013,0.166069391289663,0.158003719143772,0.0145997011332196,0.176110490381085,0.0969991575962628,0.124630589270251,0.003180123199092,0.155731781791905,0.0854548881998677,0.149138843452324,0.14781141938157,-0.0836277164575058,0.195610467799166,0.130640325022533,0.125654630176905,-0.089518301334634,0.0160829490533411,-0.0224027845519443,0.00432453553850931,0.167502660399947,0.0270238438345232,-0.0165887021682259,-0.0157282290604355,-0.140870948432581,-0.0175669533986609,0.00445062741098745,-0.0351020374229593,0.00659557486808848,-0.0442624041147519,-0.178766405799672,0.109033443444331,-0.113229115860418,-0.039795149204097,-0.0260054094798918,-0.160724183035516,-0.029968296900634,-0.116368942047621,-0.0860777945284441,-0.0539202101715958,-0.106012781004744,-0.0772596772048065,-0.057140402607192,-0.00847032545559351,-0.0108494435330111,0.0494723540105529,0.105119052897619,-0.124376468762471
"CCR-Hypoxia",0.270037557543101,0.269127071649745,0.344244120105648,0.312865715104255,0.259933911282568,0.206631241439667,0.173920465917609,0.221695466015722,0.13447719664533,0.201741304271042,0.189182878155795,0.166509032255532,0.174864310130333,0.209419604488068,0.234809210035752,0.156850817671275,0.134292744761763,0.247915105039461,0.202744016106182,0.267192289126365,0.184516637952349,0.127448402528953,0.20149994701914,0.173618278789211,0.140281544215471,0.211640876107202,0.183568869231464,0.284252126102296,0.257449697616646,0.260395040991488,0.227664642928625,0.193335007790149,0.156929307834496,0.143319113532097,0.320217657921037,0.237680954793485,0.153084502324139,0.190345478656401,0.267741113870363,0.158391679055616,0.252182254594985,0.124524859568837,0.106427303860092,0.134560600649485,0.174094499306496,0.138669025411881,0.303642766376253,0.169443452405671,0.136764310966781,0.323232532965679,0.163543820890399,0.277649504857299,0.188875415618105,0.142622415277582,0.150509815646897,0.294564919478751,0.217194200587472,0.178648649396887,0.152674767240019,0.17662212181867,0.148339327093179,0.153676957107935,0.169742448277867,0.263804334886451,0.275127419305721,0.109281607047443
"CCR-mMDSC",0.163213549240163,0.204628066178544,0.149102260282251,0.0998774810544322,0.0966751398254334,0.370779139913339,0.258876488449522,0.354086711913823,0.049380262912105,0.340869866199788,0.245381640105634,0.315041627139503,0.213968258619364,0.217516912742337,0.279410041059413,0.272989791919244,0.26846831172922,0.070950556554672,0.258714045542618,0.300633838670569,0.309137459297705,0.207891392174171,0.335195352704391,0.185350103838927,0.287644632791124,0.189541936641772,0.295751028316711,0.144552760064318,0.207066724293914,0.215812452613188,-0.00973375479362243,0.350267930070801,0.280865434273805,0.281883861562748,-0.0845239556124327,0.301917956105907,0.247564092131597,0.298866840699645,0.323311086870575,0.193372975244389,0.0495053352001279,0.21759638774729,0.0841330486218697,0.203735935263291,0.284014991570904,0.161324358346061,0.0677562959181618,0.169803429253815,-0.03890819729866,0.114085053930251,-0.0183981395548422,-0.0968660458031007,0.210101387248844,-0.0846581827116019,0.223614366852343,-0.0959178216171566,0.127511950267421,0.165848832027999,0.0407599033041584,0.0700794975039778,0.201955136750726,0.251389433632287,0.194177029583077,0.233143967590828,0.246616129596918,0.0318501544134943
"CCR-Proliferation",0.0994893455416802,0.178138696263964,0.202567908549013,0.261137331968219,0.222776473462219,0.0352014275440325,0.151256594651834,0.109093117133231,0.115898801336146,0.202046162826082,0.162745179248525,0.0955973997302295,0.153716854756029,0.153122980714186,0.206354557544534,0.0693900752135156,0.0269882759015251,0.0793420282764069,0.141818314555986,0.100158857796299,0.0479616466877658,0.222637130675805,0.224127607105289,0.0798578071797688,0.185617578110056,0.115279480563787,0.0897353504927364,0.17519828267913,0.101245345441999,0.132708034041759,0.148702971370849,0.0851205420399292,0.158322888474176,0.123003879485688,0.184816113945578,-0.0622583583667112,0.0758280385752432,-0.0557911540784539,-0.0633933041674614,-0.0661509492815818,0.161418846159959,0.0161996749634433,0.0290769637294169,0.0506836496280755,-0.060513720675186,0.033092486410452,-0.0125211591646004,0.0501479651440015,0.0677003862292581,0.178794444179541,0.0328096191747728,0.198211702905461,0.105933158894399,0.0526287033504991,0.0111691580837943,0.182905332109479,0.117591560572827,0.034469818885498,0.1257812996694,0.112686707276368,0.0316448717337402,-0.0288383022601564,-0.0176179846938775,0.0835637993515164,0.103987360130968,0.000824015353805052
"CCR-RAS",0.406745928217361,0.419511013380045,0.407968394767247,0.408024300249711,0.418258730572845,0.25932689799113,0.309634378144683,0.276888673549253,0.349375722112482,0.289046252469159,0.38364950989527,0.254097871864634,0.331847489843837,0.406980731243711,0.390283627147702,0.257627371324215,0.290674965524952,0.410767395922627,0.284398643360292,0.353866795870448,0.287905780626887,0.330531847489844,0.260154299131601,0.343583914129179,0.264500018635161,0.391066303902203,0.315333010323879,0.396645671052141,0.445100816220044,0.423651746114569,0.377015392642839,0.260948156982595,0.276653870522903,0.258287056017293,0.299947423764458,0.19410094637224,0.122302839116719,0.167208201892744,0.165389064143007,0.191808622502629,0.351104100946372,0.124384858044164,0.292828601472135,0.140457413249211,0.147718191377497,0.323906414300736,0.439931650893796,0.327145110410095,0.298259726603575,0.402450052576235,0.378611987381704,0.317444794952681,0.18959516298633,0.265431125131441,0.277255520504732,0.294411146161935,0.297376445846477,0.257502628811777,0.352681388012618,0.341256572029443,0.268717139852787,0.119957939011567,0.170247108307045,0.283443743427971,0.318880126182965,0.27856992639327
"CCR-Stroma",0.20971060467154,0.265210089487818,0.266444907794284,0.275099183007862,0.226767648084896,0.31644450213781,0.321644206819897,0.248633343339526,0.0737215736225935,0.207039762447569,0.209287099312818,0.259458692001266,0.269839441167642,0.192442619891771,0.201822208880632,0.250583739665901,0.291228084408999,0.178690865427521,0.400887576364831,0.371904232619648,0.403799378534282,0.150135083605799,0.250415797885719,0.279429971522915,0.191678363094997,0.255275562442701,0.260491493383743,0.233052078178116,0.33231702864746,0.331770203720681,0.172459981988853,0.371114013808546,0.187930097276423,0.229376019211891,0.0812331666025394,0.365901949467744,0.211548855787024,0.253868246028692,0.341930962458088,0.409016059290203,0.0705823210392276,0.128694186408692,0.0930508986973012,0.189021876545924,0.216033181260192,0.100199939537185,0.0592936385789405,0.225188488246395,0.0531523113285329,0.194574607449752,0.0372499038091574,0.036482667326261,-0.036574277652577,0.019835925905568,0.320301764414885,0.155536012019275,0.136311585041866,0.335008657175837,0.0280350501108485,0.118494521702486,0.166159374484692,0.147452545850968,0.276292163652687,0.0914729108265083,0.0252684182561059,0.0804510434416167
"immunosupression-18",0.19024924712208,0.299231173909622,0.258397643813145,0.243615553815755,0.171747298131371,0.281416860323023,0.29190951380863,0.221567725873732,-0.000157410514193879,0.24395937151781,0.156656600678522,0.198598217947284,0.2161059952694,0.186177285662802,0.200789538000141,0.202270439548149,0.223203966744958,0.0892455479749966,0.325717564113717,0.337678692001475,0.351942984254806,0.140470243199244,0.275277850269462,0.244187202525196,0.131342504566976,0.21034601316449,0.206006868069277,0.175386380676617,0.311070101529782,0.28157219964624,0.0689416628349634,0.307544934488229,0.145791132817192,0.155316540116898,0.0479112607242209,0.240652102765505,0.118799237908222,0.176271711433714,0.282055777637516,0.312767374991234,0.0639157724945648,0.0383120602192767,0.0146048109965635,0.0554386703134863,0.16876183463076,0.0366581340439956,0.096249152581995,0.152406667134208,-0.0222695607452603,0.253562077752063,-0.0155165158847044,-0.0689652149519601,0.0482531500572737,-0.120511606704537,0.246496364868972,0.0865243004418262,0.0579458587558734,0.225191107370783,-0.0210481099656357,0.0631472520279589,0.0589510718376698,0.0612770881548496,0.112315029104425,0.121385323889006,0.125277602449915,-0.00408513921032327
"Immune Infiltration",0.225013043154207,0.237598356030196,0.033385151034402,0.0328740723389304,-0.00484460013415816,0.428672579563241,0.399839223160383,0.415043814350664,0.0387514773368541,0.442562207859964,0.383655064470448,0.415751871293348,0.308963042621834,0.32923050713913,0.393732897496779,0.386891896208435,0.418951436876457,0.0575975042323704,0.207769460918451,0.378847730491168,0.381701253207551,0.340074958208669,0.446544362695514,0.288141909517776,0.391544841831791,0.199501698271915,0.367513495671802,0.16445554147723,0.229021816671813,0.276999329209212,-0.0697356232498216,0.411530148319296,0.384522833505467,0.416167122733419,-0.175918624822583,0.37903365099391,0.305115611928418,0.385018886911333,0.232143795856144,0.187911625776316,0.00164838053183747,0.367123256809426,0.13789698184904,0.292191407394057,0.437541772741268,0.197696773079205,-0.0280149593349404,0.220150794902411,-0.0792461756820691,0.13469033726091,-0.0260624356981398,-0.212182996523006,0.30127064230518,-0.124154219328482,0.332563588438056,-0.222666546511366,0.216546135880626,0.209719812858119,0.0343080932104746,0.065984034364416,0.253779259693153,0.361430899437523,0.250429930685411,0.285492749378572,0.291650708540789,0.0509796411862332
